latitude,longitude,As,Cu,El,FA,NDVI,Rn,SPI,STI,Sl,TPI,TRI,TWI,SoilTextureClass,GLG
24.39,91.65,132,0.0366392911066699,12,0.007798584,0.2749131,1.0549263659853163,0.00013612479317673298,0.0015414496758701,1,1.3456790123457054,1.065740338513935,4.055893751082528,4,ppc
24.59,91.01,312,0.0,7,0.0077862046,0.3129695,1.1163097413206011,0.00040805769070218,0.0046244348183391,3,0.1851851851851984,1.1547005383792517,2.956456287589105,7,ppc
24.6,91.95,209,0.0550532336394697,44,0.03892763,0.37628826,3.3727229812430384,0.0013593827797737,0.0068898978732293,2,-4.666666666666572,1.685083432011429,3.39286256819094,6,QTdd
22.74,89.06,36,0.0542757651824482,11,11.067398,0.4073058,1.504955025680539,0.580017755357673,0.1743486234618154,3,3.0493827160494,1.342560663732728,5.439207681043577,4,dt
24.55,90.17,29,0.0366870800089027,23,0.007788591,0.34752738,1.4537145974292258,0.0005446313442360733,0.0061712505691259,4,0.9506172839506632,1.7638342073763935,2.668064544146896,4,asl
24.73,89.17,151,0.0367390344275868,17,0.0077777784,0.28586277,1.2933044504289646,0.00027160600777383857,0.0030797225183519,2,0.0493827160494078,0.9938079899998952,3.36242119984714,7,rb
24.35,91.13,48,0.0,7,0.0078006694,0.1569954,0.8498229719859995,0.0001361611910234972,0.0015416557430303,1,0.8641975308642023,0.5665577237325341,4.055895820175619,7,ppc
24.31,91.07,180,0.0183093922495914,9,0.8661414,0.17772472,1.00394888785705,0.0151185540053584,0.0162448558560639,1,1.6543209876543292,0.4157397096415474,4.671998283982864,7,ppc
23.26,92.1,281,-0.1997710903250079,109,0.007865599,0.40349123,13.231605543400354,0.0031779084219751,0.0358323645016679,22,14.925925925926135,8.125557910569853,0.9141103144821237,6,Tbb
22.55,90.51,180,0.0,4,0.007906222,0.2931694,1.2356633063853557,0.0001380036145879764,0.001552050918289,1,-0.7407407407407316,0.6666666666666666,4.056000550060578,4,dt
24.39,88.98,0,0.0,14,0.007798398,0.31587788,1.251737651036375,0.00040869671661597663,0.0046280543771777,3,0.4567901234568197,0.993807989999908,2.956468386650384,4,asc
22.6,92.1,241,-0.0903674070069782,51,0.007903032,0.40784758,7.986087444407371,0.0008306421351481616,0.0093436612949205,6,0.5185185185186327,2.5141574442188714,2.260674671040035,7,Tbb
23.26,90.68,227,-0.0181612652112713,10,0.01573094,0.38727102,1.4585770110371945,0.0002745845756870187,0.0021892673653311,1,-0.6419753086419444,0.6666666666666666,4.063733909741531,4,asl
25.55,88.99,270,0.0369880981789033,32,0.03863139,0.28181818,0.7221145311410185,0.0006743134343359204,0.0034307702893523,1,-0.7160493827160082,0.6666666666666666,4.086029294783304,7,rb
23.28,88.96,133,0.0181637264115821,12,0.03932207,0.36209342,0.965027789186681,0.0006863692985317676,0.0034613033196481,1,0.5432098765432407,0.6849348892187711,4.086694064264834,4,dsl
23.84,89.54,48,-0.0182421669930883,10,0.01566238,0.37534437,1.4375809196209255,0.0008208305311773079,0.0065588036490446,3,0.7901234567901554,1.3146843962443586,2.964241229425507,4,asd
23.74,89.45,90,0.0,8,2.4450002,0.22196223,1.2285646484320298,0.0426776367458524,0.0272936058515861,1,-2.037037037037008,0.6666666666666666,5.285049372977883,4,asc
24.68,88.68,0,-0.0367246498129241,13,0.09336869,0.28298727,1.2370108131176911,0.0016297564892328,0.0053336202842668,1,-2.61728395061726,0.6285393610547179,4.137388887317219,4,ppc
24.06,89.0,115,0.0182734895040258,15,0.007817979,0.35556233,1.2417155710348011,0.00027300984152737155,0.0030876712494946,2,0.5679012345679304,0.9428090415820634,3.362461089332709,4,dsl
24.66,89.31,73,0.0183597070089783,19,0.0077818767,0.37974682,1.4568627181693672,0.00040783087737994114,0.0046231494250712,3,0.4814814814815342,1.4229164972072976,2.956451993161103,4,rb
25.04,90.21,90,0.0184162249696435,19,0.007758393,0.21792151,1.056504416779169,0.00027092905191655167,0.0030758821451082,2,0.1975308641975885,0.7370277311900736,3.36240196379505,6,afy
24.1,91.17,65,0.0365571989471276,8,0.007815837,0.20227484,1.159140556829627,0.0002729350397751852,0.0030872482262057,2,2.901234567901245,1.0540925533894598,3.3624589639050595,4,ppc
24.49,91.02,331,0.018334215891659,7,0.007792517,0.13254814,1.0199999183346753,0.00027212069261263244,0.0030826391259212,2,0.1604938271605043,0.9162456945817016,3.3624358246364,7,ppc
24.78,91.92,151,0.0367549731259445,15,0.0077744997,0.2272843,1.5113068229855957,0.000271491512309242,0.0030790733216857,2,2.469135802469159,0.6666666666666666,3.3624179464250785,6,asc
24.88,90.54,48,-0.0367841809086986,10,1.1730217,0.240563,1.315653996839688,0.0204751694846027,0.0189049044633925,1,-2.1728395061728154,0.6849348892187711,4.824244094208728,6,ppc
25.67,89.22,20,-0.0185124469415402,28,0.092626095,0.29591307,1.3696295294336682,0.0048543279330778,0.0159500641655212,3,-2.419753086419693,1.0540925533894598,3.037284298999365,7,afy
22.75,89.13,245,0.0,6,0.007894915,0.17209448,1.228903609577518,0.00027569649280840034,0.0031028267233355,2,1.3703703703703771,0.8314794192830985,3.362537425230395,4,dt
24.88,89.76,345,0.0183923712837735,14,0.007768243,0.3242616,1.539430380869067,0.0005432084733777358,0.0061631839794059,4,-2.6172839506172494,1.4740554623801816,2.6680443531992366,4,asl
23.75,89.57,295,0.0,7,0.007836652,0.37342995,1.4913327270567422,0.00027366191767143127,0.0030913564572326,2,-2.580246913580224,1.099943881845742,3.362479617325883,4,dsd
